slug,authority,code,label,granularity,native_level,binding,shared_with,note
kiwi,usda_nass,KIWIFRUIT,KIWIFRUIT,commodity,nass_commodity,exact,,
lamb,census_hs,020410,"CARCASSES OF LAMB, FRESH",commodity,hs6,slug_aggregates_codes,,
lamb,census_hs,020422,"MEAT OF SHEEP, CUTS, BONE IN NESOI, FRESH",commodity,hs6,slug_aggregates_codes,,
lamb,census_hs,020423,"MEAT OF SHEEP, BONELESS, FRESH",commodity,hs6,slug_aggregates_codes,,
lamb,census_hs,020430,"CARCASSES OF LAMB, FROZEN",commodity,hs6,slug_aggregates_codes,,
lamb,census_hs,020442,"MEAT OF SHEEP, CUTS WITH BONE IN, FROZEN",commodity,hs6,slug_aggregates_codes,,
lamb,census_hs,020443,"MEAT OF SHEEP, BONELESS, FROZEN",commodity,hs6,slug_aggregates_codes,,
lamb,usda_ers,Lamb: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
lamb,usda_nass,SHEEP,SHEEP,commodity,nass_commodity,exact,,Sheep/lamb; NASS LAMB & MUTTON for product where present.
leek,census_hs,0703900040,"LEEKS AND OTHER ALLIACEOUS VEGETABLES, FR/CH NESOI",line,hs10,exact,,Leeks and other alliaceous vegetables NESOI.
leek,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;collard-greens;brussels-sprouts;cilantro;daikon;rutabaga,stated origin: Mexico 67%
lemon,census_hs,080550,"LEMONS AND LIMES, FRESH OR DRIED",commodity,hs6,code_shared_by_slugs,lime,HS6 combines lemons and limes; not split at 6 digits.
lemon,ghcn_weather,mx-michoacan,"Morelia + Zamora, Michoacan — avocado, lime, citrus, berry",proxy,weather_region,code_shared_by_slugs,avocado;lime,stated origin: Mexico 76%
lemon,usda_ers,Fresh lemons: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
lemon,usda_nass,LEMONS,LEMONS,commodity,nass_commodity,exact,,
lime,census_hs,080550,"LEMONS AND LIMES, FRESH OR DRIED",commodity,hs6,code_shared_by_slugs,lemon,HS6 combines lemons and limes; not split at 6 digits.
lime,ghcn_weather,mx-michoacan,"Morelia + Zamora, Michoacan — avocado, lime, citrus, berry",proxy,weather_region,code_shared_by_slugs,avocado;lemon,stated origin: Mexico 76%
lime,usda_ers,Fresh limes: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
lime,usda_nass,LIMES,LIMES,commodity,nass_commodity,exact,,US lime production is negligible — expect near-total import reliance.
macadamia,census_hs,080262,"MACADAMIA NUTS, SHELLED",commodity,hs6,exact,,
macadamia,usda_nass,MACADAMIAS,MACADAMIAS,commodity,nass_commodity,exact,,
mahi-mahi,census_hs,0302895072,"MAHI MAHI FR/CH, EXC LIVERS ROES FILLETS ETC NESOI",line,hs10,exact,,Whole fresh mahi-mahi (dolphinfish); excludes fillets.
mahi-mahi,noaa_fisheries,mahi,Mahi-mahi (dolphinfish),group,noaa_category,exact,,AFS common name is dolphinfish. US wild landing is small (~$2.7M) — mahi is largely imported; a wide seam.
mango,census_hs,080450,"GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED — combines mango with guava/mangosteen",commodity,hs6,exact,,
mango,usda_ers,Fresh mangoes: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
mango,usda_nass,MANGOES,MANGOES,commodity,nass_commodity,exact,,US mango is Hawaii/PR/FL — tiny; expect high import reliance.
mint,usda_nass,MINT,MINT,commodity,nass_commodity,exact,,
mozzarella,census_hs,040610,"CHEESE, FRESH (UNRIPENED), INCL WHEY CHEESE & CURD",commodity,hs6,exact,,
mozzarella,usda_nass,CHEESE,CHEESE,commodity,nass_commodity,exact,,
mustard,census_hs,210330,MUSTARD FLOUR/MEAL AND PREPARED MUSTARD,commodity,hs6,exact,,
napa-cabbage,census_hs,0704904045,"NAPA CABBAGE, FRESH OR CHILLED, NESOI",line,hs10,exact,,Napa (Chinese) cabbage specifically.
napa-cabbage,usda_ers,Fresh cabbage: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
napa-cabbage,usda_nass,CABBAGE,CABBAGE,commodity,nass_commodity,exact,,Chinese/napa cabbage folds into NASS cabbage or greens.
nopales,census_hs,0709999030,"CACTUS LEAVES, FRESH OR CHILLED, NESOI",line,hs10,exact,,Fresh cactus paddles (nopales).
nutmeg,census_hs,090811,"NUTMEG, WHOLE",commodity,hs6,slug_aggregates_codes,,
nutmeg,census_hs,090812,"NUTMEG, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
octopus,census_hs,030759,"OCTOPUS, FROZEN, DRIED, SALTED OR IN BRINE",commodity,hs6,exact,,
octopus,noaa_fisheries,octopus,Octopus,group,noaa_category,exact,,US wild octopus landing is tiny (~$0.3M) — octopus on menus is overwhelmingly imported; degrades toward absence.
okra,census_hs,0709991400,"OKRA, FRESH OR CHILLED",line,hs10,exact,,Fresh okra specifically (its own HS10 line).
okra,usda_ers,Fresh okra: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
okra,usda_nass,OKRA,OKRA,commodity,nass_commodity,exact,,
olives,census_hs,200570,"OLIVES, PREPARED/PRESERVED (NOT VINEGAR), NOT FROZEN",commodity,hs6,exact,,
olives,usda_nass,OLIVES,OLIVES,commodity,nass_commodity,exact,,
onion,census_hs,070310,"ONIONS AND SHALLOTS, FRESH OR CHILLED",commodity,hs6,code_shared_by_slugs,red-onion,HS6 combines onions and shallots; not split by color/variety.
onion,usda_ers,Fresh onions: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
onion,usda_nass,ONIONS / DRY,ONIONS,line,nass_commodity_class,exact,,
orange,census_hs,080510,"ORANGES, FRESH",commodity,hs6,exact,,
orange,usda_ers,Fresh oranges and temples: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
orange,usda_nass,ORANGES,ORANGES,commodity,nass_commodity,exact,,
papaya,census_hs,080720,"PAPAYAS (PAPAWS), FRESH",commodity,hs6,exact,,
papaya,usda_ers,Fresh papayas: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
papaya,usda_nass,PAPAYAS,PAPAYAS,commodity,nass_commodity,exact,,
paprika,census_hs,090421,"CAPSICUM/PIMENTA, DRIED",commodity,hs6,slug_aggregates_codes,,
paprika,census_hs,090422,"CAPSICUM/PIMENTA, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
parmesan,census_hs,0406904100,"ITALIAN CHEESES MADE FROM COWS MILK, ADD US NTE 21",line,hs10,slug_aggregates_codes,,"Italian cow-milk grating cheeses (Parmigiano/Grana + Romano/Reggiano/Parmesan/Provolone), summed across the three lines."
parmesan,census_hs,0406904200,"ITALIAN CHEESES MADE FROM COWS MILK, NESOI",line,hs10,slug_aggregates_codes,,
parmesan,census_hs,0406904300,"ROMANO/REGGIANO/PARMESAN/PROVOLONE CHEESES, NESOI",line,hs10,slug_aggregates_codes,,
parsley,usda_nass,PARSLEY,PARSLEY,commodity,nass_commodity,exact,,
pear,census_hs,080830,"PEARS, FRESH",commodity,hs6,exact,,
pear,usda_ers,Fresh pears: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
pear,usda_nass,PEARS,PEARS,commodity,nass_commodity,exact,,
pecan,census_hs,080290,PECANS,commodity,hs6,slug_aggregates_codes,,
pecan,census_hs,080299,"NUTS, FRESH OR DRIED, NESOI",commodity,hs6,slug_aggregates_codes,,
pecan,usda_nass,PECANS,PECANS,commodity,nass_commodity,exact,,
pecorino,census_hs,0406905600,CHEESE FROM SHEEPS MILK IN ORIG LOAVES SUITABLE FOR GRATING,line,hs10,slug_aggregates_codes,,"Sheep-milk grating cheeses (Pecorino Romano and relatives), summed."
pecorino,census_hs,0406905700,PECORINO CHEESE IN ORIG LOAVES NOT SUITABLE FOR GRATING,line,hs10,slug_aggregates_codes,,
pecorino,census_hs,0406905900,"CHEESES MADE FROM SHEEPS MILK, NESOI",line,hs10,slug_aggregates_codes,,
pickles,census_hs,200110,"CUCUMBERS & GHERKINS, PREP/PRES VINEGAR",commodity,hs6,exact,,
pineapple,census_hs,080430,"PINEAPPLES, FRESH OR DRIED",commodity,hs6,exact,,
pineapple,ghcn_weather,cr-lowlands,Costa Rica lowlands (pineapple),proxy,weather_region,exact,,stated origin: Costa Rica 83%
pineapple,usda_ers,Fresh pineapples: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
pineapple,usda_nass,PINEAPPLES,PINEAPPLES,commodity,nass_commodity,exact,,US pineapple is Hawaii/PR; small domestic share.
pistachio,census_hs,080252,"PISTACHIOS, SHELLED",commodity,hs6,exact,,
pistachio,usda_nass,PISTACHIOS,PISTACHIOS,commodity,nass_commodity,exact,,
plantain,census_hs,0803101000,"PLANTAINS, FRESH",line,hs10,exact,,Fresh plantains.
poblano-pepper,census_hs,0709602050,"POBLANO PEPPERS, FRESH/CHILLED",line,hs10,exact,,Poblano peppers specifically.
poblano-pepper,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;jalapeno;serrano-pepper;habanero-pepper;cucumber;eggplant,stated origin: Mexico 100%
poblano-pepper,usda_nass,PEPPERS / CHILE,PEPPERS,line,nass_commodity_class,exact,,
pork-belly,census_hs,0203194010,"BELLIES OF SWINE, FRESH OR CHILLED, EXC PROCESSED",line,hs10,exact,,Fresh pork bellies specifically (the bacon cut); frozen bellies sit in the pork-cuts NESOI bucket.
pork-belly,usda_ers,Pork: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
pork-belly,usda_nass,HOGS,HOGS,commodity,nass_commodity,exact,,"NASS is live hogs, not by cut — all pork cuts share HOGS."
pork-loin,census_hs,020329,"MEAT OF SWINE, NESOI, FROZEN",commodity,hs6,exact,,"Frozen pork cuts (NESOI); HS10 has no loin-specific line, so pork-loin stays on this shared frozen-cuts stream. Belly and shoulder now have their own HS10 codes below."
pork-loin,usda_ers,Pork: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
pork-loin,usda_nass,HOGS,HOGS,commodity,nass_commodity,exact,,
pork-shoulder,census_hs,0203129020,SHOULDERS & CUTS SWINE W/ BONE FR/CH EXC PROCESSED,line,hs10,slug_aggregates_codes,,"Fresh bone-in pork shoulder, summed with the frozen ham+shoulder line (0203229000); boneless shoulder sits in the cuts NESOI bucket."
pork-shoulder,census_hs,0203229000,"HAMS, SHOULDERS & CUTS, SWINE, W/ BONE, FRZN NESOI",line,hs10,slug_aggregates_codes,,
pork-shoulder,usda_ers,Pork: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
pork-shoulder,usda_nass,HOGS,HOGS,commodity,nass_commodity,exact,,
processed-cheese,census_hs,040630,"CHEESE, PROCESSED, NOT GRATED OR POWDERED",commodity,hs6,exact,,
processed-cheese,usda_nass,CHEESE,CHEESE,commodity,nass_commodity,exact,,
prosciutto,census_hs,0210110010,HAMS & CUTS OF SWINE W/BONE SALTED/BRINE/DRIED/SMOKED,line,hs10,slug_aggregates_codes,,"Cured swine — bone-in hams plus the boneless cured-swine NESOI line (0210190090), summed. Prosciutto, serrano, speck, etc."
prosciutto,census_hs,0210190090,"MEAT OF SWINE, SALTED, BRINE, DRIED, SMOKED, NESOI",line,hs10,slug_aggregates_codes,,
raspberry,census_hs,0810201023,"RASPBERRIES, FRESH, ORGANIC (9/1-6/30)",line,hs10,slug_aggregates_codes,,Raspberries only (org + conventional across entry periods) — excludes the blackberries/mulberries that share the HS6 code.
raspberry,census_hs,0810201028,"RASPBERRIES, FRESH (9/1-6/30) NESOI",line,hs10,slug_aggregates_codes,,
raspberry,census_hs,0810201030,"RASPBERRIES, FRESH, ORGANIC (9/1-6/30) NESOI",line,hs10,slug_aggregates_codes,,
raspberry,census_hs,0810201035,"RASPBERRIES, FRESH (9/1-6/30) NESOI",line,hs10,slug_aggregates_codes,,
raspberry,census_hs,0810209022,"RASPBERRIES, FRESH (7/1-8/31)",line,hs10,slug_aggregates_codes,,
raspberry,census_hs,0810209024,"RASPBERRIES, FRESH (7/1-8/31) NESOI",line,hs10,slug_aggregates_codes,,
raspberry,ghcn_weather,mx-bajio,Guanajuato / Queretaro / Jalisco Bajio berry + veg belt,proxy,weather_region,exact,,stated origin: Mexico 100%
raspberry,usda_ers,Fresh raspberries: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
raspberry,usda_nass,RASPBERRIES,RASPBERRIES,commodity,nass_commodity,exact,,
red-leaf-lettuce,census_hs,0705192060,"RED AND GREEN LETTUCE, FR/CH (6/1-10/31)",line,hs10,aggregate_and_shared,green-leaf-lettuce,
red-leaf-lettuce,census_hs,0705194060,"RED AND GREEN LETTUCE, FR/CH (11/1-5/31)",line,hs10,aggregate_and_shared,green-leaf-lettuce,HS10 combines red and green leaf lettuce; summed across entry periods (0705192060).
red-leaf-lettuce,usda_ers,Fresh romaine and leaf lettuce: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
red-leaf-lettuce,usda_nass,LETTUCE / LEAF,LETTUCE,line,nass_commodity_class,exact,,
red-onion,census_hs,070310,"ONIONS AND SHALLOTS, FRESH OR CHILLED",commodity,hs6,code_shared_by_slugs,onion,HS6 combines onions and shallots; not split by color/variety.
red-onion,usda_ers,Fresh onions: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
red-onion,usda_nass,ONIONS / DRY,ONIONS,line,nass_commodity_class,exact,,NASS dry onions not split by color.
red-potato,census_hs,070190,"POTATOES, EXCEPT SEED, FRESH OR CHILLED, NESOI",commodity,hs6,code_shared_by_slugs,russet-potato,Fresh table potatoes; not split by variety.
red-potato,usda_ers,Fresh potatoes: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
red-potato,usda_nass,POTATOES,POTATOES,commodity,nass_commodity,exact,,
ribeye,census_hs,0201305025,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,RIB",line,hs10,slug_aggregates_codes,,"The boneless beef RIB primal (fresh), of which ribeye is the principal cut; summed with its frozen twin (0202305025). HS10 splits beef by primal, not retail cut; US statistical data from 2017."
ribeye,census_hs,0202305025,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, RIB",line,hs10,slug_aggregates_codes,,
ribeye,usda_ers,Beef: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
ribeye,usda_nass,CATTLE,CATTLE,commodity,nass_commodity,exact,,"NASS is live cattle / total beef, not by retail cut — all beef cuts share the CATTLE commodity for the domestic production + farm-gate price layer."
romaine-lettuce,census_hs,0705192020,"LETTUCE, ROMAINE, FRESH/CHILLED (6/1-10/31)",line,hs10,slug_aggregates_codes,,
romaine-lettuce,census_hs,0705194020,"LETTUCE, ROMAINE, FRESH/CHILLED (11/1-5/31)",line,hs10,slug_aggregates_codes,,"Romaine, summed across entry periods (0705192020)."
romaine-lettuce,usda_ers,Fresh romaine and leaf lettuce: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
romaine-lettuce,usda_nass,LETTUCE / ROMAINE,LETTUCE,line,nass_commodity_class,exact,,
russet-potato,census_hs,070190,"POTATOES, EXCEPT SEED, FRESH OR CHILLED, NESOI",commodity,hs6,code_shared_by_slugs,red-potato,Fresh table potatoes; not split by variety.
russet-potato,usda_ers,Fresh potatoes: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
russet-potato,usda_nass,POTATOES,POTATOES,commodity,nass_commodity,exact,,NASS potatoes not split by variety at the national fresh series.
rutabaga,census_hs,0706904040,"SALSIFY & SIMILAR EDIBLE ROOTS, FR/CH",line,hs10,exact,,Salsify and similar edible roots NESOI — swedes/rutabaga fall here; no rutabaga-specific line.
rutabaga,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;collard-greens;brussels-sprouts;cilantro;leek;daikon,stated origin: Mexico 62%
saffron,census_hs,091020,SAFFRON,commodity,hs6,exact,,
salmon-fillet,census_hs,030441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLETS",commodity,hs6,code_shared_by_slugs,salmon-skin-on-fillet,Fresh salmon fillets; whole salmon is a separate code (030214).
salmon-fillet,ghcn_weather,,,proxy,weather_region,code_shared_by_slugs,shrimp;shrimp-pd;shrimp-head-on;salmon-skin-on-fillet,stated origin: Chile 63%
salmon-fillet,noaa_fisheries,salmon,Salmon (Pacific wild),group,noaa_category,code_shared_by_slugs,salmon-skin-on-fillet;whole-salmon,"US wild = Pacific/Alaska (chinook, coho, sockeye, pink, chum). Atlantic salmon is farmed (US wild Atlantic landing is $0/confidential every year) and is EXCLUDED from the wild figure."
salmon-skin-on-fillet,census_hs,030441,"PACIFIC, ATLANTIC, DANUBE SALMON FILLETS",commodity,hs6,code_shared_by_slugs,salmon-fillet,Fresh salmon fillets; whole salmon is a separate code (030214).
salmon-skin-on-fillet,ghcn_weather,,,proxy,weather_region,code_shared_by_slugs,shrimp;shrimp-pd;shrimp-head-on;salmon-fillet,stated origin: Chile 63%
salmon-skin-on-fillet,noaa_fisheries,salmon,Salmon (Pacific wild),group,noaa_category,code_shared_by_slugs,salmon-fillet;whole-salmon,"US wild = Pacific/Alaska (chinook, coho, sockeye, pink, chum). Atlantic salmon is farmed (US wild Atlantic landing is $0/confidential every year) and is EXCLUDED from the wild figure."
sardine,census_hs,160413,"SARDINES/SARDINELLA/BRISLING, PREP/PRESERVED",commodity,hs6,exact,,
sardine,noaa_fisheries,sardine,Sardine,group,noaa_category,exact,,"Pacific sardine / pilchard, wild; landings swing with the stock's boom-bust cycle."
scallops,census_hs,030729,"SCALLOPS, NESOI",commodity,hs6,exact,,Scallops not elsewhere specified; some scallop trade sits under other codes.
scallops,noaa_fisheries,scallop,Scallop,group,noaa_category,exact,,"Sea + bay scallop, wild-harvested."
serrano-pepper,census_hs,0709602060,"SERRANO PEPPERS, FRESH/CHILLED",line,hs10,exact,,Serrano peppers specifically.
serrano-pepper,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;jalapeno;poblano-pepper;habanero-pepper;cucumber;eggplant,stated origin: Mexico 100%
serrano-pepper,usda_nass,PEPPERS / CHILE,PEPPERS,line,nass_commodity_class,exact,,
shiitake,census_hs,070959,"MUSHROOMS, FRESH OR CHILLED, NESOI",commodity,hs6,exact,,
shiitake,usda_ers,Fresh mushrooms: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
shiitake,usda_nass,MUSHROOMS,MUSHROOMS,commodity,nass_commodity,exact,,Specialty mushrooms fold into the NASS mushroom commodity.
short-rib,usda_ers,Beef: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
short-rib,usda_nass,CATTLE,CATTLE,commodity,nass_commodity,exact,,
shrimp,census_hs,0306170004,FARMED SHRIMP FZ SHELL <33/KG,line,hs10,aggregate_and_shared,shrimp-head-on,"Frozen shell-on shrimp, summed across all count-per-kg size grades (farmed + wild). HS does not distinguish head-on from headless shell-on, so both shell slugs share this stream."
shrimp,census_hs,0306170005,FARMED SHRIMP FZ SHELL 33-45/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170007,FARMED SHRIMP FZ SHELL 46-55/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170008,FARMED SHRIMP FZ SHELL 56-66/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170010,FARMED SHRIMP FZ SHELL 67-88/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170011,FARMED SHRIMP FZ SHELL 89-110/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170013,FARMED SHRIMP FZ SHELL 111-132/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170014,FARMED SHRIMP FZ SHELL 133-154/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170016,FARMED SHRIMP FZ SHELL >154/KG,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170017,SHRIMP FZ SHELL <33/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170019,SHRIMP FZ SHELL 33-45/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170020,SHRIMP FZ SHELL 46-55/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170022,SHRIMP FZ SHELL 56-66/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170023,SHRIMP FZ SHELL 67-88/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170025,SHRIMP FZ SHELL 89-110/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,census_hs,0306170026,SHRIMP FZ SHELL 111-132/KG NESOI,line,hs10,aggregate_and_shared,shrimp-head-on,
shrimp,ghcn_weather,,,proxy,weather_region,code_shared_by_slugs,shrimp-pd;shrimp-head-on;salmon-fillet;salmon-skin-on-fillet,stated origin: Ecuador 50%
shrimp,noaa_fisheries,shrimp,Shrimp,group,noaa_category,code_shared_by_slugs,shrimp-pd;shrimp-head-on,US wild penaeid (Gulf/South Atlantic) + pandalid (cold-water); imports are mostly farmed — the wild-vs-farmed seam is wide here.
shrimp-head-on,census_hs,0306170004,FARMED SHRIMP FZ SHELL <33/KG,line,hs10,aggregate_and_shared,shrimp,"Frozen shell-on shrimp, summed across all count-per-kg size grades (farmed + wild). HS does not distinguish head-on from headless shell-on, so both shell slugs share this stream."
shrimp-head-on,census_hs,0306170005,FARMED SHRIMP FZ SHELL 33-45/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170007,FARMED SHRIMP FZ SHELL 46-55/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170008,FARMED SHRIMP FZ SHELL 56-66/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170010,FARMED SHRIMP FZ SHELL 67-88/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170011,FARMED SHRIMP FZ SHELL 89-110/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170013,FARMED SHRIMP FZ SHELL 111-132/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170014,FARMED SHRIMP FZ SHELL 133-154/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170016,FARMED SHRIMP FZ SHELL >154/KG,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170017,SHRIMP FZ SHELL <33/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170019,SHRIMP FZ SHELL 33-45/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170020,SHRIMP FZ SHELL 46-55/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170022,SHRIMP FZ SHELL 56-66/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170023,SHRIMP FZ SHELL 67-88/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170025,SHRIMP FZ SHELL 89-110/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,census_hs,0306170026,SHRIMP FZ SHELL 111-132/KG NESOI,line,hs10,aggregate_and_shared,shrimp,
shrimp-head-on,ghcn_weather,,,proxy,weather_region,code_shared_by_slugs,shrimp;shrimp-pd;salmon-fillet;salmon-skin-on-fillet,stated origin: Ecuador 50%
shrimp-head-on,noaa_fisheries,shrimp,Shrimp,group,noaa_category,code_shared_by_slugs,shrimp;shrimp-pd,US wild penaeid (Gulf/South Atlantic) + pandalid (cold-water); imports are mostly farmed — the wild-vs-farmed seam is wide here.
shrimp-pd,census_hs,0306170041,"FARMED SHRIMPS & PRAWNS, FROZEN PEELED",line,hs10,slug_aggregates_codes,,Peeled (P&D) shrimp — farmed + wild (0306170042) summed. The dominant import form.
shrimp-pd,census_hs,0306170042,"SHRIMPS & PRAWNS, FROZEN PEELED NESOI",line,hs10,slug_aggregates_codes,,
shrimp-pd,ghcn_weather,,,proxy,weather_region,code_shared_by_slugs,shrimp;shrimp-head-on;salmon-fillet;salmon-skin-on-fillet,stated origin: India 50%
shrimp-pd,noaa_fisheries,shrimp,Shrimp,group,noaa_category,code_shared_by_slugs,shrimp;shrimp-head-on,US wild penaeid (Gulf/South Atlantic) + pandalid (cold-water); imports are mostly farmed — the wild-vs-farmed seam is wide here.
snapper,census_hs,0302895058,"SNAPPER, FR/CH, EXC FILLET LIVER AND ROE NESOI",line,hs10,slug_aggregates_codes,,"Whole snapper, fresh + frozen (0303890067) summed; excludes fillets."
snapper,census_hs,0303890067,"SNAPPER, FROZEN, EXCEPT FILLETS, LIVERS AND ROES",line,hs10,slug_aggregates_codes,,
snapper,noaa_fisheries,snapper,Snapper,group,noaa_category,exact,,Red snapper + the wider Lutjanidae group roll up (the import code is broad too).
snow-peas,census_hs,0708102020,"SNOW PEAS, FRESH/CHILLED (summer entry)",line,hs10,slug_aggregates_codes,,"Snow peas, summed across entry periods (0708104020)."
snow-peas,census_hs,0708104020,"SNOW PEAS, FRESH/CHILLED (winter entry)",line,hs10,slug_aggregates_codes,,
snow-peas,usda_nass,PEAS / GREEN,PEAS,line,nass_commodity_class,exact,,
soy-sauce,census_hs,210310,SOY SAUCE,commodity,hs6,exact,,
spinach,census_hs,070970,"SPINACH, NEW ZEALAND & ORACHE (GARDEN), FRSH/CHLD",commodity,hs6,exact,,"Spinach, New Zealand spinach and orache, combined."
spinach,usda_ers,Fresh spinach: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
spinach,usda_nass,SPINACH,SPINACH,commodity,nass_commodity,exact,,
squid,census_hs,0307430010,"SQUID FILLETS, FROZEN",line,hs10,slug_aggregates_codes,,"Squid only (fillets + Loligo + other squid), summed; excludes the cuttlefish that shares the HS6 code."
squid,census_hs,0307430022,"SQUID, LOLIGO OPALESCENS, FROZEN",line,hs10,slug_aggregates_codes,,
squid,census_hs,0307430024,"SQUID, LOLIGO PEALEI, FROZEN",line,hs10,slug_aggregates_codes,,
squid,census_hs,0307430029,"LOLIGO SQUID, FROZEN, NESOI",line,hs10,slug_aggregates_codes,,
squid,census_hs,0307430050,"SQUID, FROZEN, NESOI",line,hs10,slug_aggregates_codes,,
squid,noaa_fisheries,squid,Squid,group,noaa_category,exact,,"Pacific (market) + Atlantic (Loligo/Illex) squid, wild."
strawberry,census_hs,081010,"STRAWBERRIES, FRESH",commodity,hs6,exact,,
strawberry,usda_ers,Fresh strawberries: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
strawberry,usda_nass,STRAWBERRIES,STRAWBERRIES,commodity,nass_commodity,exact,,
striploin,census_hs,0201305045,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,LOIN",line,hs10,aggregate_and_shared,beef-tenderloin,"The boneless beef LOIN primal (fresh) — strip loin, short loin (tenderloin) and sirloin; summed with its frozen twin (0202305045). Not split finer at HS10; data from 2017."
